Type,Intervals,ClockTime
2,61,34688.000000
0,62,1273.000000
1,62,36233.000000
2,62,41242.000000
0,63,1899.000000
1,63,39380.000000
2,63,58223.000000
0,64,3172.000000
1,64,40800.000000
2,64,41870.000000
0,65,2019.000000
1,65,42095.000000
2,65,45321.000000
0,66,2041.000000
1,66,44358.000000
2,66,52476.000000
0,67,4198.000000
1,67,58759.000000
2,67,48698.000000
0,68,1852.000000
1,68,47742.000000
2,68,69550.000000
0,69,1533.000000
1,69,50314.000000
2,69,50414.000000
0,70,1414.000000
1,70,51890.000000
2,70,57614.000000
0,71,1512.000000
1,71,57265.000000
2,71,61609.000000
0,72,4066.000000
1,72,66247.000000
2,72,59812.000000
0,73,1503.000000
1,73,59426.000000
2,73,57774.000000
0,74,1575.000000
1,74,61906.000000
2,74,82038.000000
0,75,1549.000000
1,75,67655.000000
2,75,62766.000000
0,76,1596.000000
1,76,66170.000000
2,76,79540.000000
0,77,2797.000000
1,77,75514.000000
2,77,68427.000000
0,78,1748.000000
1,78,71762.000000
2,78,93214.000000
0,79,2542.000000
1,79,75260.000000
2,79,73939.000000
0,80,1725.000000
1,80,77489.000000
2,80,99679.000000
0,20,393.000000
1,20,1640.000000
2,20,1889.000000
0,21,487.000000
1,21,1833.000000
2,21,2264.000000
0,22,411.000000
1,22,2022.000000
2,22,2291.000000
0,23,442.000000
1,23,2271.000000
2,23,2560.000000
0,24,455.000000
1,24,2576.000000
2,24,2945.000000
0,25,490.000000
1,25,2782.000000
2,25,3108.000000
0,26,488.000000
1,26,3108.000000
2,26,3375.000000
0,27,506.000000
1,27,3391.000000
2,27,3705.000000
0,28,511.000000
1,28,3758.000000
2,28,4129.000000
0,29,534.000000
1,29,4118.000000
2,29,4492.000000
0,30,556.000000
1,30,4525.000000
2,30,4938.000000
0,31,604.000000
1,31,4970.000000
2,31,5361.000000
0,32,589.000000
1,32,5399.000000
2,32,5867.000000
0,33,629.000000
1,33,5855.000000
2,33,6310.000000
0,34,638.000000
1,34,6383.000000
2,34,6889.000000
0,35,657.000000
1,35,6907.000000
2,35,7426.000000
0,36,739.000000
1,36,7563.000000
2,36,9041.000000
0,37,772.000000
1,37,9001.000000
2,37,8934.000000
0,38,882.000000
1,38,9298.000000
2,38,10720.000000
0,39,1160.000000
1,39,9818.000000
2,39,11397.000000
0,40,781.000000
1,40,10305.000000
2,40,10862.000000
0,41,808.000000
1,41,11053.000000
2,41,11453.000000
0,42,813.000000
1,42,12108.000000
2,42,18774.000000
0,43,1446.000000
1,43,20943.000000
2,43,14730.000000
0,44,1280.000000
1,44,14348.000000
2,44,14420.000000
0,45,892.000000
1,45,14517.000000
2,45,14595.000000
0,46,969.000000
1,46,15196.000000
2,46,15653.000000
0,47,927.000000
1,47,16179.000000
2,47,16651.000000
0,48,935.000000
1,48,17305.000000
2,48,18248.000000
0,49,986.000000
1,49,18348.000000
2,49,18640.000000
0,50,999.000000
1,50,19384.000000
2,50,19963.000000
0,51,1037.000000
1,51,21403.000000
2,51,21254.000000
0,52,1059.000000
1,52,21795.000000
2,52,28331.000000
0,53,3170.000000
1,53,34935.000000
2,53,23584.000000
0,54,1040.000000
1,54,24735.000000
2,54,24542.000000
0,55,1094.000000
1,55,25467.000000
2,55,25654.000000
0,56,1106.000000
1,56,27864.000000
2,56,27792.000000
0,57,1464.000000
1,57,41311.000000
2,57,36415.000000
0,58,1143.000000
1,58,30544.000000
2,58,31146.000000
0,59,1152.000000
1,59,31499.000000
2,59,31447.000000
0,60,1160.000000
1,60,34462.000000
2,60,35808.000000
0,61,1235.000000
1,61,35026.000000
2,61,53635.000000
0,62,1826.000000
1,62,37869.000000
2,62,37287.000000
0,63,1242.000000
1,63,38013.000000
2,63,38507.000000
0,64,1310.000000
