Type,Intervals,ClockTime
2,477,668.000000
0,478,3605.000000
1,478,692.000000
2,478,685.000000
0,479,3604.000000
1,479,694.000000
2,479,673.000000
0,480,3583.000000
1,480,695.000000
2,480,726.000000
0,481,3593.000000
1,481,697.000000
2,481,677.000000
0,482,3632.000000
1,482,700.000000
2,482,751.000000
0,483,3664.000000
1,483,699.000000
2,483,677.000000
0,484,3629.000000
1,484,700.000000
2,484,688.000000
0,485,3646.000000
1,485,717.000000
2,485,680.000000
0,486,3641.000000
1,486,719.000000
2,486,686.000000
0,487,3701.000000
1,487,708.000000
2,487,683.000000
0,488,3735.000000
1,488,708.000000
2,488,683.000000
0,489,3676.000000
1,489,704.000000
2,489,696.000000
0,490,3702.000000
1,490,717.000000
2,490,691.000000
0,491,3721.000000
1,491,707.000000
2,491,689.000000
0,492,3723.000000
1,492,708.000000
2,492,689.000000
0,493,3725.000000
1,493,709.000000
2,493,733.000000
0,494,3768.000000
1,494,738.000000
2,494,694.000000
0,495,4090.000000
1,495,734.000000
2,495,693.000000
0,496,4561.000000
1,496,1217.000000
2,496,1183.000000
0,497,4649.000000
1,497,803.000000
2,497,710.000000
0,498,3812.000000
1,498,714.000000
2,498,691.000000
0,499,3790.000000
1,499,753.000000
2,499,696.000000
0,500,3954.000000
1,500,718.000000
2,500,822.000000
0,501,3835.000000
1,501,723.000000
2,501,694.000000
0,502,3875.000000
1,502,722.000000
2,502,698.000000
0,503,3852.000000
1,503,721.000000
2,503,711.000000
0,504,3875.000000
1,504,724.000000
2,504,700.000000
0,505,3880.000000
1,505,723.000000
2,505,705.000000
0,506,3897.000000
1,506,726.000000
2,506,715.000000
0,507,3898.000000
1,507,730.000000
2,507,704.000000
0,508,3907.000000
1,508,724.000000
2,508,707.000000
0,509,3962.000000
1,509,729.000000
2,509,722.000000
0,510,3950.000000
1,510,735.000000
2,510,704.000000
0,511,3952.000000
1,511,727.000000
2,511,707.000000
0,512,3980.000000
1,512,728.000000
2,512,718.000000
0,513,3958.000000
1,513,1046.000000
2,513,860.000000
0,514,4081.000000
1,514,731.000000
2,514,727.000000
0,515,4010.000000
1,515,732.000000
2,515,710.000000
0,516,4038.000000
1,516,730.000000
2,516,709.000000
0,517,4012.000000
1,517,758.000000
2,517,729.000000
0,518,4030.000000
1,518,736.000000
2,518,713.000000
0,519,4150.000000
1,519,735.000000
2,519,716.000000
0,520,4059.000000
1,520,743.000000
2,520,711.000000
0,521,4130.000000
1,521,738.000000
2,521,715.000000
0,522,4083.000000
1,522,741.000000
2,522,755.000000
0,523,4081.000000
1,523,739.000000
2,523,714.000000
0,524,4137.000000
